'hPhones'	'hSon'	'aPhones'	'aSon'	'featDist'	'simScore'	'phoneLev'	'freq'
'i n j'	[8, 5, 7]	'e l'	[9, 6]	8.5	2.833	3	1
'i'	[8]	'ə k v a v'	[9, 1, 4, 9, 4]	29.5	5.9	5	1
'i'	[8]	'e'	[9]	0.25	0.25	1	1
'i'	[8]	'ə'	[9]	0.625	0.625	1	1
'∅'	[0]	'j'	[7]	7.25	7.25	1	4
'j aː'	[7, 9, 9]	'ɐ'	[9]	8.0	4.0	2	1
'j e'	[7, 9]	'i ə'	[8, 9]	1.5625	0.781	2	1
'j i b ə n'	[7, 8, 2, 9, 5]	'ɛ v'	[9, 4]	22.6875	4.537	5	1
'j'	[7]	'∅'	[0]	7.25	7.25	1	2
'j'	[7]	'd i'	[2, 8]	8.4375	4.219	2	1
'j'	[7]	'i'	[8]	1.1875	1.188	1	1
'∅'	[0]	'k'	[1]	7.25	7.25	1	1
'k r'	[1, 6]	'ŋ p'	[5, 1]	4.0625	2.031	2	1
'k r'	[1, 6]	'p ɾ'	[1, 6]	1.0	0.5	2	1
'k r'	[1, 6]	'p t'	[1, 1]	3.125	1.562	2	1
'k'	[1]	'∅'	[0]	7.25	7.25	1	1
'k'	[1]	'p'	[1]	1.0	1.0	1	1
'm a'	[5, 9]	'n ə v'	[5, 9, 4]	8.4375	2.812	3	1
'm b a'	[5, 2, 9]	'ŋ p ə'	[5, 1, 9]	1.75	0.583	3	1
'm b ə j'	[5, 2, 9, 7]	'ŋ ɡ o'	[5, 2, 9]	9.625	2.406	4	1
'm i'	[5, 8]	'∅'	[0]	14.5	7.25	2	1
'm i'	[5, 8]	'ɾ n'	[6, 5]	5.3125	2.656	2	1
'm m'	[5, 5]	'ɾ'	[6]	9.0625	4.531	2	1
'm n e'	[5, 5, 9]	'∅'	[0]	21.75	7.25	3	1
'm'	[5]	'∅'	[0]	7.25	7.25	1	1
'm'	[5]	'n'	[5]	0.5625	0.562	1	3
'm'	[5]	'o n e b'	[9, 5, 9, 2]	22.3125	5.578	4	1
'm'	[5]	'v'	[4]	1.8125	1.812	1	1
'∅'	[0]	'n d o'	[5, 2, 9]	21.75	7.25	3	1
'∅'	[0]	'n'	[5]	7.25	7.25	1	2
'n i'	[5, 8]	'e'	[9]	7.5	3.75	2	1
'n'	[5]	'∅'	[0]	7.25	7.25	1	6
'n'	[5]	'l'	[6]	1.0	1.0	1	1
'∅'	[0]	'ŋ d e'	[5, 2, 9]	21.75	7.25	3	1
'ŋ ɡ'	[5, 2]	'n d'	[5, 2]	2.125	1.062	2	1
'ŋ j'	[5, 7]	'n i'	[5, 8]	2.25	1.125	2	1
'o n ə z'	[9, 5, 9, 4]	'∅'	[0]	29.0	7.25	4	1
'∅'	[0]	'p'	[1]	7.25	7.25	1	1
'q'	[1]	'k'	[1]	0.25	0.25	1	1
'r a s'	[6, 9, 3]	'ɾ'	[6]	14.5	4.833	3	1
'r b a b'	[6, 2, 9, 2]	'l d u d'	[6, 2, 8, 2]	3.125	0.781	4	1
'r i'	[6, 8]	'e'	[9]	7.5	3.75	2	1
'r m i'	[6, 5, 8]	'ə o u'	[9, 9, 8]	7.4375	2.479	3	1
'∅'	[0]	's k e a'	[3, 1, 9, 9]	29.0	7.25	4	1
'∅'	[0]	's o'	[3, 9]	14.5	7.25	2	1
'∅'	[0]	's p'	[3, 1]	14.5	7.25	2	1
'∅'	[0]	's t'	[3, 1]	14.5	7.25	2	2
's a'	[3, 9]	'z ɛ'	[4, 9]	0.5	0.25	2	1
'ʃ u m'	[3, 8, 5]	's'	[3]	14.875	4.958	3	1
'ʃ u'	[3, 8]	's o e'	[3, 9, 9]	8.125	2.708	3	1
's'	[3]	't͡s'	[1]	0.75	0.75	1	1
's'	[3]	'z'	[4]	0.125	0.125	1	1
'∅'	[0]	't'	[1]	7.25	7.25	1	1
't ə'	[1, 9]	'∅'	[0]	14.5	7.25	2	1
't u'	[1, 8]	'k o'	[1, 9]	1.5625	0.781	2	1
't'	[1]	'd'	[2]	0.125	0.125	1	1
't'	[1]	't s'	[1, 3]	7.25	7.25	1	1
'∅'	[0]	'u n ə'	[8, 5, 9]	21.75	7.25	3	1
'u k r'	[8, 1, 6]	'ə t ɾ'	[9, 1, 6]	1.9375	0.646	3	1
'u m i'	[8, 5, 8]	'e v ə'	[9, 4, 9]	3.4375	1.146	3	1
'u m'	[8, 5]	'n'	[5]	7.8125	3.906	2	1
'u n'	[8, 5]	'∅'	[0]	14.5	7.25	2	1
'u r'	[8, 6]	's p i'	[3, 1, 8]	14.5625	4.854	3	1
'u s a w'	[8, 3, 9, 7]	'z e ɡ'	[4, 9, 2]	10.625	2.656	4	1
'u w e'	[8, 7, 9]	'm'	[5]	17.25	5.75	3	1
