a	open front unrounded vowel
tɕʰ	voiceless alveolo-palatal sibilant-affricate consonant, aspirated diacritic
tʰ	voiceless alveolar plosive consonant, aspirated diacritic
t̪ʰ	voiceless dental plosive consonant, aspirated diacritic
tʲ	voiceless alveolar plosive consonant, palatalized diacritic
t͡ɬ	voiceless alveolar lateral-affricate consonant
ts	voiceless alveolar sibilant-affricate consonant
t͡s	voiceless alveolar sibilant-affricate consonant
tsʰ	voiceless alveolar sibilant-affricate consonant, aspirated diacritic
t͡sʼ	voiceless alveolar ejective-affricate consonant
tʃ	voiceless palato-alveolar sibilant-affricate consonant
t͡ʃ	voiceless palato-alveolar sibilant-affricate consonant
t͡ʃː	voiceless palato-alveolar sibilant-affricate consonant, long suprasegmental
t͡ʃʲ	voiceless palato-alveolar sibilant-affricate consonant, palatalized diacritic
t͡ʃʼ	voiceless palato-alveolar ejective-affricate consonant
tʷʼ	voiceless alveolar plosive consonant, labialized diacritic, ejective diacritic
tʼ	voiceless alveolar ejective consonant
u	close back rounded vowel
uː	close back rounded vowel, long suprasegmental
uə	close back rounded vowel, mid central unrounded vowel
ɥ	voiced labio-palatal approximant consonant
ɯ	close back unrounded vowel
ɯ̟	close back unrounded vowel, advanced diacritic
ɯ̥	close back unrounded vowel, voiceless diacritic
ɰ	voiced velar approximant consonant
ʊ	near-close near-back rounded vowel
v	voiced labio-dental non-sibilant-fricative consonant
v̞	voiced labio-dental non-sibilant-fricative consonant, lowered diacritic
vː	voiced labio-dental non-sibilant-fricative consonant, long suprasegmental
v̞ʲ	voiced labio-dental non-sibilant-fricative consonant, lowered diacritic, palatalized diacritic
vʲ	voiced labio-dental non-sibilant-fricative consonant, palatalized diacritic
vʷ	voiced labio-dental non-sibilant-fricative consonant, labialized diacritic
ʋ	voiced labio-dental approximant consonant
ʋʲ	voiced labio-dental approximant consonant, palatalized diacritic
ʌ	open-mid back unrounded vowel
w	voiced labio-velar approximant consonant
x	voiceless velar non-sibilant-fricative consonant
y	close front rounded vowel
ʏ	near-close near-front rounded vowel
z	voiced alveolar sibilant-fricative consonant
zʲ	voiced alveolar sibilant-fricative consonant, palatalized diacritic
ʐ	voiced retroflex sibilant-fricative consonant
ʑ	voiced alveolo-palatal sibilant-fricative consonant
ʒ	voiced palato-alveolar sibilant-fricative consonant
ʒ͡ɣ	voiced palato-alveolar sibilant-fricative consonant, tie-bar-above diacritic, voiced velar non-sibilant-fricative consonant
ʔ	voiceless glottal plosive consonant
β	voiced bilabial non-sibilant-fricative consonant
β̞	voiced bilabial non-sibilant-fricative consonant, lowered diacritic
θ	voiceless dental non-sibilant-fricative consonant
χ	voiceless uvular non-sibilant-fricative consonant
